	psnDCG@1	psnDCG@5	psnDCG@10	psprecision@1	psprecision@5	psprecision@10	hits@1	hits@5	hits@10	hit_rate@1	hit_rate@5	hit_rate@10	precision@1	precision@5	precision@10	recall@1	recall@5	recall@10	f1@1	f1@5	f1@10	r-precision@1	r-precision@5	r-precision@10	mrr@1	mrr@5	mrr@10	map@1	map@5	map@10	ndcg@1	ndcg@5	ndcg@10	ndcg_burges@1	ndcg_burges@5	ndcg_burges@10
mean	91.95	96.72	96.72	91.95	100.0	100.0	91.98	100.0	100.0	91.98	100.0	100.0	91.98	20.0	10.0	91.98	100.0	100.0	91.98	33.3	18.2	91.98	91.98	91.98	91.98	95.59	95.59	91.98	95.59	95.59	91.98	96.72	96.72	91.98	96.72	96.72
std	0.5421	0.2251	0.2251	0.5421	0.0	0.0	0.535	0.0	0.0	0.535	0.0	0.0	0.535	0.0	0.0	0.535	0.0	0.0	0.535	0.0	0.0	0.535	0.535	0.535	0.535	0.3071	0.3071	0.535	0.3071	0.3071	0.535	0.2251	0.2251	0.535	0.2251	0.2251
